iter	RMSE
0	3.009174403
1	3.008975567
2	3.008907636
3	3.008669761
4	3.008575783
5	3.008405268
6	3.008223074
7	3.007865376
8	3.007337182
9	3.007192954
10	3.006926069
11	3.006637908
12	3.006312145
13	3.006035411
14	3.005831633
15	3.005544848
16	3.005139337
17	3.004949177
18	3.004546102
19	3.004287782
20	3.003793307
21	3.003616306
22	3.003110629
23	3.002810696
24	3.002705859
25	3.00249816
26	3.002223091
27	3.002136273
28	3.001757786
29	3.001343447
30	3.001103227
31	3.000480291
32	2.999973421
33	2.999757136
34	2.999318931
35	2.999038472
36	2.99832782
37	2.998120381
38	2.997639591
39	2.997401777
40	2.99689025
41	2.99642219
42	2.995488519
43	2.99526963
44	2.994908128
45	2.994428604
46	2.994313497
47	2.993657108
48	2.993504087
49	2.992996918
50	2.992773853
51	2.991989716
52	2.991854847
53	2.991437053
54	2.990825447
55	2.990479351
56	2.990280638
57	2.989892209
58	2.989625328
59	2.989137207
60	2.988877904
61	2.988756782
62	2.988678144
63	2.988260419
64	2.987966448
65	2.987467228
66	2.987075755
67	2.986962472
68	2.986160803
69	2.985969627
70	2.985479588
71	2.984988093
72	2.984504014
73	2.984114345
74	2.9833422
75	2.982979053
76	2.982385396
77	2.982217175
78	2.981612342
79	2.981322171
80	2.981196542
81	2.980666259
82	2.980056732
83	2.979759882
84	2.979535437
85	2.979274143
86	2.978767196
87	2.978271436
88	2.977945403
89	2.977413531
90	2.977117451
91	2.976487209
92	2.97632
93	2.976005625
94	2.975781348
95	2.975593392
96	2.975184874
97	2.975002417
98	2.974667272
99	2.974377129
100	2.974149083
101	2.973835886
102	2.973572213
103	2.973196073
104	2.972990245
105	2.97258939
106	2.972329171
107	2.971835178
108	2.971520858
109	2.971143371
110	2.970540538
111	2.970239029
112	2.970022656
113	2.969769669
114	2.969591833
115	2.969255217
116	2.969217044
117	2.969051902
118	2.968876323
119	2.968648661
120	2.968321534
121	2.968196532
122	2.96768671
123	2.967079126
124	2.966874787
125	2.966628778
126	2.966435258
127	2.966302667
128	2.965968242
129	2.965835033
130	2.965720882
131	2.965318061
132	2.965172013
133	2.964891944
134	2.964686117
135	2.964594691
136	2.964228628
137	2.963975442
138	2.963655808
139	2.963483121
140	2.963205815
141	2.963025637
142	2.962706589
143	2.962174837
144	2.96205029
145	2.961468255
146	2.961343405
147	2.961220659
148	2.960752237
149	2.96013581
150	2.95977026
151	2.959739584
152	2.95945195
153	2.9592529
154	2.959016672
155	2.958934655
156	2.958803007
157	2.958451367
158	2.958276419
159	2.958067541
160	2.957970182
161	2.957473437
162	2.95735682
163	2.957127394
164	2.957031542
165	2.95660235
166	2.956260981
167	2.956237591
168	2.956232936
169	2.956001091
170	2.955675237
171	2.955431149
172	2.955371031
173	2.955097343
174	2.95502465
175	2.954940573
176	2.954556124
177	2.954197012
178	2.953760508
179	2.953630145
180	2.953573874
181	2.953345118
182	2.952830658
183	2.952763396
184	2.952630916
185	2.952406188
186	2.952298568
187	2.952180881
188	2.952068643
189	2.951761368
190	2.95168148
191	2.951469346
192	2.951146041
193	2.950887331
194	2.950625857
195	2.950562337
196	2.950463496
197	2.950209968
198	2.949989961
199	2.949532136
200	2.949301207
201	2.948944736
202	2.948892087
203	2.948739488
204	2.948651463
205	2.948131177
206	2.948022171
207	2.947894481
208	2.947433422
209	2.9472271
210	2.946701032
211	2.946455376
212	2.946317242
213	2.946213578
214	2.945757591
215	2.945600601
216	2.945392382
217	2.945313376
218	2.945075042
219	2.944865342
220	2.944609003
221	2.944521569
222	2.94393721
223	2.94375264
224	2.943711704
225	2.943211468
226	2.94301028
227	2.94260266
228	2.942458843
229	2.942318117
230	2.942299627
231	2.942141114
232	2.941749361
233	2.941725229
234	2.941299188
235	2.94124297
236	2.940954283
237	2.940855118
238	2.940491298
239	2.939797915
240	2.939704821
241	2.939643257
242	2.939535534
243	2.939345295
244	2.939095462
245	2.938891091
246	2.938836436
247	2.938798537
248	2.938480277
249	2.938210739
250	2.937988772
251	2.937839028
252	2.937787467
253	2.937463276
254	2.93739715
255	2.936541706
256	2.936384665
257	2.936169359
258	2.935968568
259	2.935845671
260	2.935639952
261	2.934966347
262	2.934759429
263	2.934292581
264	2.934124813
265	2.933805056
266	2.933634618
267	2.933252952
268	2.932836623
269	2.93277998
270	2.93230908
271	2.931811085
272	2.931679687
273	2.931424888
274	2.931242025
275	2.931127598
276	2.930849203
277	2.93068928
278	2.930468461
279	2.930291634
280	2.930215257
281	2.930207328
282	2.929629717
283	2.929616153
284	2.929285592
285	2.929253435
286	2.929245531
287	2.928877292
288	2.9287587
289	2.928553565
290	2.92850901
291	2.928407693
292	2.927958775
293	2.927796734
294	2.927484879
295	2.927457485
296	2.927064885
297	2.927013366
298	2.926919538
299	2.926558566
300	2.926455299
301	2.92622925
302	2.925955026
303	2.925916498
304	2.925783342
305	2.925395794
306	2.925101212
307	2.924884453
308	2.924490977
309	2.9242016
310	2.9239625
311	2.923870572
312	2.923723288
313	2.923548116
314	2.923390453
315	2.923306807
316	2.923209058
317	2.92298751
318	2.922710392
319	2.922678889
320	2.922545735
321	2.922225792
322	2.922192524
323	2.922076633
324	2.921810333
325	2.92153872
326	2.921189835
327	2.920541155
328	2.920487664
329	2.920379474
330	2.920206374
331	2.919998754
332	2.919786488
333	2.919559457
334	2.919329209
335	2.919054084
336	2.918950296
337	2.918800235
338	2.918681071
339	2.918414955
340	2.918217464
341	2.918152299
342	2.91775945
343	2.917603477
344	2.917137564
345	2.916738968
346	2.916707442
347	2.916466644
348	2.916092537
349	2.915837221
350	2.915602308
351	2.915442331
352	2.915203303
353	2.914827545
354	2.914710502
355	2.914704443
356	2.914645069
357	2.914577655
358	2.914533259
359	2.914268809
360	2.914219426
361	2.913781273
362	2.913701359
363	2.913469801
364	2.913199533
365	2.913173759
366	2.91304922
367	2.912934941
368	2.912903276
369	2.912610454
370	2.912501177
371	2.911863403
372	2.911690417
373	2.911591375
374	2.911262315
375	2.911111966
376	2.910972096
377	2.910965458
378	2.910821983
379	2.910443204
380	2.91029098
381	2.910069939
382	2.909804958
383	2.909793921
384	2.909751486
385	2.909401061
386	2.909297805
387	2.909282091
388	2.909003545
389	2.908849414
390	2.908664148
391	2.90857943
392	2.90850227
393	2.908199584
394	2.908030595
395	2.907912302
396	2.907726884
397	2.907629492
398	2.907283597
399	2.907183685
400	2.906696521
401	2.906608378
402	2.906428712
403	2.906279809
404	2.906120067
405	2.905723591
406	2.905313269
407	2.904815629
408	2.90481024
409	2.904637046
410	2.904563407
411	2.904365905
412	2.904325216
413	2.904193602
414	2.904149548
415	2.904065237
416	2.903857611
417	2.903736461
418	2.903661982
419	2.903608533
420	2.903538421
421	2.903330738
422	2.903283529
423	2.90287772
424	2.902778712
425	2.90241222
426	2.902402575
427	2.902172703
428	2.901717202
429	2.9013192
430	2.900987592
431	2.900798404
432	2.900748564
433	2.900731147
434	2.900724978
435	2.900468181
436	2.900115973
437	2.899964134
438	2.89989947
439	2.899571176
440	2.899389505
441	2.899133883
442	2.898781915
443	2.898642958
444	2.898632504
445	2.898587752
446	2.898489256
447	2.898266596
448	2.898039595
449	2.897689756
450	2.897424754
451	2.897351819
452	2.897125579
453	2.896618274
454	2.89654837
455	2.896516113
456	2.896412317
457	2.896171042
458	2.89616762
459	2.896071857
460	2.895781775
461	2.895588207
462	2.895549166
463	2.895522057
464	2.895338453
465	2.895297069
466	2.895250569
467	2.894962177
468	2.894752047
469	2.894558904
470	2.894347317
471	2.894074523
472	2.893880457
473	2.893561514
474	2.893542901
475	2.893115489
476	2.892586342
477	2.892583138
478	2.892179457
479	2.892122414
480	2.892059628
481	2.89140831
482	2.891183336
483	2.891149256
484	2.891083546
485	2.891066312
486	2.891032808
487	2.890947714
488	2.890675651
489	2.890586837
490	2.890360808
491	2.890357778
492	2.889963552
493	2.889960595
494	2.889596886
495	2.889374413
496	2.88928804
497	2.889179596
498	2.889151402
499	2.889098741
500	2.889041743
501	2.888779169
502	2.888655249
503	2.88855908
504	2.888400486
505	2.888166146
506	2.888147428
507	2.887901822
508	2.887511275
509	2.887358572
510	2.886870012
511	2.886664442
512	2.886207995
513	2.88615652
514	2.885702548
515	2.885391429
516	2.885134143
517	2.885091536
518	2.884970979
519	2.884744448
520	2.884653879
521	2.884395029
522	2.884258127
523	2.884014039
524	2.883820136
525	2.883792954
526	2.883631807
527	2.883408528
528	2.883236758
529	2.883167309
530	2.883010193
531	2.88273097
532	2.88246218
533	2.882288056
534	2.881936559
535	2.881845133
536	2.881710521
537	2.881352755
538	2.88094344
539	2.880668537
540	2.88024989
541	2.880065985
542	2.879822693
543	2.879160781
544	2.87903889
545	2.878895745
546	2.878854319
547	2.878603825
548	2.878441728
549	2.878385565
550	2.878328788
551	2.877604728
552	2.877416059
553	2.877250922
554	2.877242542
555	2.877126665
556	2.876818247
557	2.876496863
558	2.876420786
559	2.876259485
560	2.875942962
561	2.875782916
562	2.875563168
563	2.875520773
564	2.875442224
565	2.875302533
566	2.874867828
567	2.874692278
568	2.874537778
569	2.874237609
570	2.874140949
571	2.873928007
572	2.873892097
573	2.873590781
574	2.87345683
575	2.873407441
576	2.873207421
577	2.873113922
578	2.873078664
579	2.872753501
580	2.872702181
581	2.872510352
582	2.872436328
583	2.872433965
584	2.872157837
585	2.871914782
586	2.871725184
587	2.871528655
588	2.871225908
589	2.871185029
590	2.871007753
591	2.870941793
592	2.870734204
593	2.870607559
594	2.870483689
595	2.870390596
596	2.870387881
597	2.87038002
598	2.870288842
599	2.869889956
600	2.869643299
601	2.869624941
602	2.869303877
603	2.868823831
604	2.86878603
605	2.868521562
606	2.868181102
607	2.867533973
608	2.867137959
609	2.867135765
610	2.866929731
611	2.866749524
612	2.866480318
613	2.866476275
614	2.866277747
615	2.866242573
616	2.866228104
617	2.865953244
618	2.865754338
619	2.86543552
620	2.865246119
621	2.864900961
622	2.864587319
623	2.864330199
624	2.863992566
625	2.863786304
626	2.863763571
627	2.863734454
628	2.863540743
629	2.863334622
630	2.863171943
631	2.862889939
632	2.862629685
633	2.862597978
634	2.862532928
635	2.86238482
636	2.862287236
637	2.862278963
638	2.862058795
639	2.861990778
640	2.861712599
641	2.861569688
642	2.861384579
643	2.861292538
644	2.861158901
645	2.861131649
646	2.860940215
647	2.860799053
648	2.860639655
649	2.860385028
650	2.860355245
651	2.860163132
652	2.859918881
653	2.85976049
654	2.859316397
655	2.859192787
656	2.85913918
657	2.859049341
658	2.858916134
659	2.858851246
660	2.858634265
661	2.858581775
662	2.858387658
663	2.858326251
664	2.85824142
665	2.85810123
666	2.857845273
667	2.857746931
668	2.857288968
669	2.857280335
670	2.857159067
671	2.857131096
672	2.856972946
673	2.856749744
674	2.856712429
675	2.856661488
676	2.856608649
677	2.856046621
678	2.855797489
679	2.855607092
680	2.855331851
681	2.855120902
682	2.854947412
683	2.85485076
684	2.854536442
685	2.854442654
686	2.854231657
687	2.854102739
688	2.854033228
689	2.854024657
690	2.853873343
691	2.853868687
692	2.853742329
693	2.853389037
694	2.853190603
695	2.853068283
696	2.85296934
697	2.852792817
698	2.852532489
699	2.852462596
700	2.852453049
701	2.852284961
702	2.852057415
703	2.85187851
704	2.851823888
705	2.851700946
706	2.851665244
707	2.851364616
708	2.851198716
709	2.850991741
710	2.850703396
711	2.850612837
712	2.850325736
713	2.850181887
714	2.850096061
715	2.850062183
716	2.849877146
717	2.849808313
718	2.849702285
719	2.849549794
720	2.849346365
721	2.848932968
722	2.84890794
723	2.848784374
724	2.848584764
725	2.848424741
726	2.848352915
727	2.848179475
728	2.847989163
729	2.847901487
730	2.847758047
731	2.847396359
732	2.84711032
733	2.846899651
734	2.846695108
735	2.846589533
736	2.846206786
737	2.846108892
738	2.845953096
739	2.845910926
740	2.845727056
741	2.845554089
742	2.845435655
743	2.845160273
744	2.844875574
745	2.844652263
746	2.844463395
747	2.84429008
748	2.844268644
749	2.844248119
750	2.844049133
751	2.843760982
752	2.843540366
753	2.843478622
754	2.84340263
755	2.843380547
756	2.843359285
757	2.842984029
758	2.842847013
759	2.84251131
760	2.842348466
761	2.842329396
762	2.842137869
763	2.841794634
764	2.841740017
765	2.841569291
766	2.841426591
767	2.841211966
768	2.841098351
769	2.840977705
770	2.84088272
771	2.840792528
772	2.840740625
773	2.840593449
774	2.840471138
775	2.840426866
776	2.8402494
777	2.840007592
778	2.839933483
779	2.839872224
780	2.839743925
781	2.839535704
782	2.839430693
783	2.839315157
784	2.83919041
785	2.839178411
786	2.839112894
787	2.838963475
788	2.838672492
789	2.838631913
790	2.838426491
791	2.838379141
792	2.837872294
793	2.837778438
794	2.837685156
795	2.837554391
796	2.837478033
797	2.837247071
798	2.836952849
799	2.836872507
800	2.836797445
801	2.83647268
802	2.836274162
803	2.83619356
804	2.836064822
805	2.835814523
806	2.835328157
807	2.83518286
808	2.835127926
809	2.834973109
810	2.834714733
811	2.834394191
812	2.834222016
813	2.834212049
814	2.834138132
815	2.834017284
816	2.833989873
817	2.833720801
818	2.833648382
819	2.833544732
820	2.833502489
821	2.833225261
822	2.83321238
823	2.83318743
824	2.833170515
825	2.832725991
826	2.832714506
827	2.832676149
828	2.832400691
829	2.832391862
830	2.832215494
831	2.832070962
832	2.832014764
833	2.83182899
834	2.831798772
835	2.831616551
836	2.831455707
837	2.831287251
838	2.830921144
839	2.830717064
840	2.830704543
841	2.8306597
842	2.830480363
843	2.830202928
844	2.83008824
845	2.829948056
846	2.829757741
847	2.829574416
848	2.829455584
849	2.829388101
850	2.82934632
851	2.828999781
852	2.828916604
853	2.828798405
854	2.828773882
855	2.828227978
856	2.827987586
857	2.827512336
858	2.827258889
859	2.827164627
860	2.827037246
861	2.826884579
862	2.826747864
863	2.826706041
864	2.826600878
865	2.826241081
866	2.826152103
867	2.826026046
868	2.82587411
869	2.825786789
870	2.825669875
871	2.825564458
872	2.825022231
873	2.824847387
874	2.824827166
875	2.824708521
876	2.824217442
877	2.823950949
878	2.823798825
879	2.823507997
880	2.823214701
881	2.823080278
882	2.823079026
883	2.822920054
884	2.822879861
885	2.822863044
886	2.822609858
887	2.822512329
888	2.822262507
889	2.822111661
890	2.821966104
891	2.821854002
892	2.821704036
893	2.821466836
894	2.821434564
895	2.821240395
896	2.821146645
897	2.820696837
898	2.82049808
899	2.820254303
900	2.820221264
901	2.820126378
902	2.819682465
903	2.81962868
904	2.8194806
905	2.819089575
906	2.818882621
907	2.818548975
908	2.818511566
909	2.818240833
910	2.818209608
911	2.81813375
912	2.818124493
913	2.818022908
914	2.817785369
915	2.81756294
916	2.817511485
917	2.817461027
918	2.81740369
919	2.817103176
920	2.816758579
921	2.816649697
922	2.81657521
923	2.816343592
924	2.816288145
925	2.816224243
926	2.81602819
927	2.815974687
928	2.815830227
929	2.815626333
930	2.815315445
931	2.815106796
932	2.815049072
933	2.814868836
934	2.814641004
935	2.814452085
936	2.814380182
937	2.814203901
938	2.814189176
939	2.814157934
940	2.814019926
941	2.813865281
942	2.813782065
943	2.813682686
944	2.813432039
945	2.813369125
946	2.813338539
947	2.813175977
948	2.813133083
949	2.813104789
950	2.812967057
951	2.812710399
952	2.812691582
953	2.81251032
954	2.812287141
955	2.81211725
956	2.812064841
957	2.812032287
958	2.811821611
959	2.811636373
960	2.811423816
961	2.811111245
962	2.810945347
963	2.810810506
964	2.81070756
965	2.810657908
966	2.81039487
967	2.810168205
968	2.809928896
969	2.8098886
970	2.809779946
971	2.809747278
972	2.809661703
973	2.809497226
974	2.809307093
975	2.809084501
976	2.808943921
977	2.808905303
978	2.808884395
979	2.808760301
980	2.808491131
981	2.808062055
982	2.807737076
983	2.807589094
984	2.807441393
985	2.807383645
986	2.807380691
987	2.807205841
988	2.80714643
989	2.806982709
990	2.806868675
991	2.806798976
992	2.806619981
993	2.806408525
994	2.806387592
995	2.80629816
996	2.806203801
997	2.806056083
998	2.805972047
999	2.805872448
1000	2.805825448
1001	2.805814
1002	2.805748553
1003	2.805687638
1004	2.80557595
1005	2.805514753
1006	2.805374764
1007	2.80534884
1008	2.80524837
1009	2.805174114
1010	2.804882711
1011	2.804757098
1012	2.804738911
1013	2.804700205
1014	2.804631011
1015	2.804524378
1016	2.80429252
1017	2.804271603
1018	2.804265369
1019	2.804233679
1020	2.804133132
1021	2.803752995
1022	2.80367464
1023	2.803585511
1024	2.803538069
1025	2.803504387
1026	2.803485069
1027	2.803311544
1028	2.802998812
1029	2.802826044
1030	2.802571269
1031	2.802551877
1032	2.802530603
1033	2.802436894
1034	2.802326183
1035	2.802280079
1036	2.802122617
1037	2.802104324
1038	2.802071609
1039	2.802046805
1040	2.802015796
1041	2.80188784
1042	2.801695526
1043	2.801641799
1044	2.801531385
1045	2.801465213
1046	2.80136281
1047	2.801305976
1048	2.801256777
1049	2.800973371
1050	2.800786012
1051	2.800717467
1052	2.800675992
1053	2.800438443
1054	2.800352437
1055	2.800214089
1056	2.80001313
1057	2.799860474
1058	2.799835313
1059	2.799775318
1060	2.799375505
1061	2.799255838
1062	2.79910552
1063	2.798839409
1064	2.798792439
1065	2.798732422
1066	2.798713908
1067	2.798648212
1068	2.798409095
1069	2.798273336
1070	2.798218731
1071	2.79799569
1072	2.797899822
1073	2.797716211
1074	2.797493007
1075	2.797470398
1076	2.797371803
1077	2.797137963
1078	2.796855934
1079	2.796748934
1080	2.796744717
1081	2.796603881
1082	2.796483861
1083	2.796312995
1084	2.796037741
1085	2.795984267
1086	2.795753579
1087	2.795525684
1088	2.795087314
1089	2.795015612
1090	2.794968538
1091	2.794649407
1092	2.794604234
1093	2.794454581
1094	2.794330649
1095	2.79428375
1096	2.794041916
1097	2.793949746
1098	2.793896881
1099	2.793582624
1100	2.793559111
1101	2.793435765
1102	2.793384233
1103	2.793375675
1104	2.793289303
1105	2.793174777
1106	2.793056209
1107	2.793034044
1108	2.793003418
1109	2.792866542
1110	2.792814892
1111	2.792739076
1112	2.792564548
1113	2.792453995
1114	2.792450017
1115	2.792436578
1116	2.792295956
1117	2.792215632
1118	2.792212969
1119	2.79219344
1120	2.792073276
1121	2.791906809
1122	2.791780688
1123	2.791709345
1124	2.791648095
1125	2.791462183
1126	2.791397039
1127	2.791268244
1128	2.791254877
1129	2.791224351
1130	2.791177609
1131	2.791122414
1132	2.79109688
1133	2.790999241
1134	2.790987116
1135	2.790783108
1136	2.790759948
1137	2.79066238
1138	2.790543806
1139	2.790460313
1140	2.79019875
1141	2.789919996
1142	2.78984365
1143	2.789772806
1144	2.78972643
1145	2.789088638
1146	2.788662967
1147	2.788624266
1148	2.78854107
1149	2.788097265
