iter	Passed	Remaining
0	97	582382
1	124	372451
2	154	309079
3	181	271821
4	206	247837
5	236	236015
6	263	225764
7	294	220227
8	325	216861
9	355	213102
10	396	215659
11	430	214686
12	460	211849
13	494	211403
14	524	209153
15	552	206630
16	583	205389
17	611	203351
18	644	202914
19	673	201450
20	703	200259
21	734	199523
22	759	197302
23	790	196837
24	824	197040
25	857	196967
26	897	198608
27	928	198123
28	958	197264
29	983	195683
30	1018	196046
31	1058	197429
32	1087	196656
33	1114	195645
34	1140	194334
35	1181	195719
36	1209	194933
37	1240	194611
38	1273	194581
39	1307	194881
40	1337	194464
41	1364	193543
42	1395	193278
43	1437	194638
44	1469	194439
45	1501	194370
46	1539	194931
47	1569	194620
48	1601	194487
49	1648	196227
50	1691	197306
51	1728	197718
52	1763	197828
53	1793	197497
54	1825	197313
55	1857	197197
56	1891	197248
57	1921	196812
58	1948	196250
59	1983	196324
60	2022	196917
61	2053	196681
62	2086	196612
63	2122	196844
64	2156	196871
65	2189	196889
66	2226	197139
67	2254	196688
68	2281	196107
69	2309	195664
70	2347	196014
71	2378	195865
72	2408	195562
73	2443	195644
74	2475	195596
75	2503	195151
76	2529	194546
77	2560	194396
78	2592	194311
79	2619	193811
80	2649	193582
81	2681	193505
82	2705	192905
83	2735	192669
84	2764	192346
85	2789	191845
86	2816	191440
87	2846	191235
88	2870	190620
89	2896	190212
90	2926	190060
91	2959	190030
92	2990	189938
93	3018	189678
94	3047	189456
95	3078	189340
96	3104	188947
97	3136	188906
98	3164	188646
99	3190	188217
100	3225	188377
101	3251	188037
102	3277	187665
103	3313	187821
104	3343	187710
105	3370	187416
106	3400	187290
107	3426	186945
108	3450	186487
109	3478	186242
110	3508	186137
111	3534	185829
112	3561	185529
113	3592	185482
114	3619	185222
115	3644	184885
116	3672	184654
117	3700	184465
118	3732	184458
119	3770	184737
120	3803	184806
121	3834	184734
122	3891	185949
123	3924	185985
124	3953	185819
125	3983	185720
126	4017	185793
127	4061	186324
128	4097	186499
129	4128	186408
130	4181	187330
131	4229	188014
132	4262	188009
133	4300	188247
134	4349	188982
135	4385	189101
136	4423	189308
137	4469	189866
138	4497	189648
139	4528	189567
140	4575	190133
141	4609	190145
142	4645	190254
143	4682	190418
144	4726	190857
145	4756	190727
146	4793	190848
147	4847	191690
148	4895	192229
149	4937	192553
150	4970	192533
151	5007	192665
152	5052	193086
153	5086	193077
154	5127	193364
155	5169	193654
156	5212	194001
157	5242	193839
158	5273	193738
159	5302	193525
160	5332	193404
161	5360	193165
162	5384	192816
163	5409	192506
164	5442	192474
165	5475	192445
166	5503	192218
167	5530	191986
168	5557	191765
169	5585	191550
170	5608	191179
