Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Quality_label
0.001660121,0.591013168,147.6083726,38.18634497,0.000421253,0.000612033,2286.523413,0.035407171,0.593081227,1.010384969,6.85607525,0.168760714,1.098755461,36.95599172,8.454598232,11.43806637,177.2431198,338.7292556,2.021703783,0.079525689,Pass
1.601748949,0.015051685,0.035864443,51.13032624,0.000909187,0.002397012,2286.523413,0.035407171,0.593081227,1.010384969,0.00036216,11.64903347,0.066670797,225.6329492,0.481859897,20597.44782,3.723329824,15.37619031,0.986973223,4.634376473,Fail
0.098038764,69.23368456,0.08092026,0.11226532,0.000909187,0.00197229,2286.523413,0.035407171,0.593081227,1.010384969,0.022200868,0.078212851,110.0796892,2.208138003,0.073524619,236.0793143,0.06419561,0.57630163,33.87579049,1.813727158,Fail
18.18185974,0.047325071,0.018061277,1.098102095,0.000909187,0.002397012,2286.523413,0.035407171,0.593081227,1.010384969,1.459004308,0.380281023,0.011491433,0.654516954,0.025871901,176.9489151,0.029777221,0.246726122,27.11716522,0.081818871,Fail
0.012085348,0.008748659,0.005508504,524.3273958,0.000909187,0.002397012,2286.523413,0.035407171,0.593081227,1.010384969,11.57664653,1.555671651,38.61338614,0.260988735,0.009379594,194.7980393,0.055053014,0.014725196,13.56970741,18.13849633,Fail
0.004062021,14.55648307,0.786944931,0.010545003,0.000524811,0.001622824,2286.523413,0.035407171,0.593081227,1.010384969,0.001554977,8.998939535,6.392711623,16.10747905,1.016070771,86.06425773,0.576379693,123.0574886,16.13388416,0.598516813,Good
0.438449218,1.232558862,2.882698503,0.610756936,1.600654212,0.464037172,0.600826895,17.8500214,0.051849508,0.010191934,10.6906373,0.034556547,0.000971484,1.021245512,1.791291937,0.377311969,0.035492814,0.146689932,41.28537553,5.985572289,Good
48159.9174,0.002986741,14.86381255,0.063287291,1.434060443,0.314162296,0.600826895,17.8500214,0.051849508,0.010191934,0.057851304,0.255093508,0.09039487,21.03551414,29.60862966,0.581454356,0.615608732,3.321155881,0.013034492,0.04503878,Good
1.456600828,52.38157831,20.6252828,366.0748306,1.434060443,0.258496524,0.600826895,17.8500214,0.051849508,0.010191934,120.7918429,49.15163486,43.31593792,0.581297468,0.753915528,0.610076037,0.029777221,0.007033416,3.397996103,20.32288902,Pass
0.000108558,4.784653655,31.91667163,20.6723877,1.284805512,0.175007232,0.600826895,17.8500214,0.051849508,0.010191934,0.000305611,0.020347983,58.68101441,8.387914467,33.3625176,0.108174222,1.356619243,1.081445497,0.056060473,0.41359742,Good
12.46032336,75.94033719,0.051240926,0.710990045,1.600654212,0.685411649,0.600826895,17.8500214,0.051849508,0.010191934,0.013220402,205.8762045,52.98706474,0.153027911,4.654686487,0.003744037,1.417496646,0.114666192,0.039657,0.068988585,Pass
0.778408827,9.256196571,74.33593499,2.98212341,1.600654212,0.685411649,0.600826895,17.8500214,0.051849508,0.010191934,5.271388284,0.403754433,44.60449636,15.63676674,47.72878069,0.15888046,0.285550946,1.02384604,0.493891517,0.302532035,Good
0.000757851,0.022673385,199.6565815,3.761593299,1.600654212,0.685411649,0.600826895,17.8500214,0.051849508,0.010191934,5.54441013,0.019520658,0.029288161,0.419480368,1.046849103,0.222407208,0.051544817,0.057850967,0.079248976,0.565437064,Excellent
87.02416863,0.077502272,228.0043906,0.732291837,1.786601059,0.833011192,0.600826895,17.8500214,0.051849508,0.010191934,6.37E-05,6831.208732,73.10280998,12.70523307,34.3731191,0.202028287,542.8790578,257.6337765,35.59312654,2.410085037,Pass
2.850769644,1263.088796,5.224136842,33.25721796,1.600654212,0.464037172,0.600826895,17.8500214,0.051849508,0.010191934,153859.9662,0.310028746,6.597902992,41.61092121,49.17455819,0.775756921,0.954872616,5.288519425,0.026699692,1.404292532,Good
0.002538588,4.619355482,38.40890102,0.526750198,2.225808096,1.230409133,0.600826895,17.8500214,77.59848817,0.052625471,34.33833143,0.232630998,9.287540649,13.48167554,60.59842765,0.089258673,0.021424153,0.12793087,168.9982458,125.3522325,Good
0.234520554,16.31074551,2264.226344,375.6405822,1.284805512,3.965022677,0.600826895,17.8500214,77.59848817,0.052625471,0.106476637,1116.138851,0.001585548,277.6942208,2932.769047,0.023245396,531.0935844,145.0166914,29.93627004,0.294052806,Fail
13.29663283,0.015195613,476.8418065,1.292070006,2.225808096,1.230409133,0.600826895,17.8500214,77.59848817,0.052625471,2.275503034,0.000486815,0.304471515,70.96732623,2681.621525,0.002944411,24.05217457,496.8697751,4311.278351,633.6601755,Fail
0.220540441,262.1935928,4.283586535,1.539752546,3.45468122,1.230409133,0.600826895,17.8500214,6.783966878,0.377331664,0.000294904,188.4255471,2.849446122,2.34308178,0.901744393,4.590438588,6.588163631,1.769841895,0.715660122,0.689932431,Excellent
0.204163626,5.166549651,0.299501005,0.051690713,3.85600905,5.856584117,0.600826895,17.8500214,6.783966878,0.377331664,67.86200225,26083.18584,0.011231994,0.880495365,0.98619735,0.813943009,0.106351128,0.240065716,0.034189264,0.073024622,Excellent
35.59793701,0.412560671,0.062600934,51.42670094,3.85600905,5.856584117,0.600826895,17.8500214,6.783966878,0.377331664,1946.04821,64.94821351,7.025543939,1.741731768,0.511494582,7.074067961,0.111123565,0.215174191,2.021703783,2.276880745,Excellent
1.349669848,0.005561291,73.36344503,0.606519316,5.362017666,3.965022677,0.600826895,17.8500214,6.783966878,0.377331664,0.095300872,2.799358597,0.01566678,2.020153452,0.542951818,8.1709818,25.13150019,0.502602789,1.465949373,1.975195462,Good
0.029587956,1.853346918,1.437164389,1505.668106,5.984919397,2.684398366,0.600826895,17.8500214,6.783966878,0.377331664,0.001420833,0.222995114,0.585141568,0.225018733,0.336821077,0.503396988,1.270170064,0.135127996,0.197839321,0.970418467,Excellent
41.99098554,0.241054626,81.85109043,0.03134104,4.303958845,2.684398366,0.600826895,17.8500214,6.783966878,0.377331664,87.94010638,34426.3453,0.058820859,0.225018733,0.10209258,3.610043952,0.717842232,0.414982668,0.425795891,13.65025834,Pass
0.318964175,0.000280997,0.001395807,0.000868602,5.362017666,7.117766557,0.600826895,17.8500214,6.783966878,0.377331664,2.520894919,19.07308795,1.328026794,0.501181861,1.329122779,0.202028287,0.022882305,0.041657263,0.266178402,1.919835588,Excellent
0.126286663,0.145321509,0.022314482,0.145914473,5.362017666,7.117766557,0.600826895,17.8500214,6.783966878,0.377331664,0.008479191,0.000919479,41.31410526,0.061019903,0.235438638,0.103099235,0.019197448,0.021599861,11.99164416,0.670595321,Pass
0.184010883,2.146057198,2.399497309,1999.715246,3.095123009,1.495370817,0.600826895,17.8500214,6.783966878,0.377331664,44.61239372,5.81E-05,0.010792165,0.268845257,0.901744393,0.137551546,0.144607417,0.2752676,11.41305822,7.514048755,Excellent
0.055857791,0.022869718,1122.396003,0.001256164,3.095123009,1.495370817,0.600826895,17.8500214,6.783966878,0.377331664,198030.38,0.000198713,3.206018285,0.120705125,0.689354012,0.057920911,0.551625843,0.642968669,0.06832247,0.004135416,Good
0.004220206,0.019195212,2.047142454,0.003748698,3.095123009,1.81739051,0.600826895,17.8500214,6.783966878,0.377331664,0.800727505,428.5361038,1.145135137,0.098075694,1.046849103,0.021115447,0.19235656,0.074007466,1.089579116,0.191970596,Excellent
12.62626383,4.368144508,0.21611664,1.851174365,3.095123009,2.208755332,0.600826895,17.8500214,6.783966878,0.377331664,0.140859173,86.2306569,71.29121117,2.020153452,2.207431624,0.85400878,8.205115733,0.868809798,0.030213289,0.186590132,Excellent
3.009579759,5.555737795,2185.442652,149.7757311,3.45468122,2.684398366,0.600826895,17.8500214,6.783966878,0.377331664,0.677677992,119.5846758,0.579950327,0.194006191,5.244824283,0.00476082,0.172364107,0.203713681,1.202851935,0.016652337,Pass
0.038278498,2.260318251,227.3771352,1.826535903,3.45468122,2.684398366,0.600826895,17.8500214,6.783966878,0.377331664,167.5839609,0.068451867,1.194350392,0.268845257,0.849499635,0.144322423,2.924685297,2.526034931,0.026699692,0.086605518,Excellent
0.842276275,0.009808963,0.427632985,0.262597598,3.45468122,4.818868004,0.600826895,17.8500214,6.783966878,0.377331664,2236.604825,0.06676561,4.455522646,0.302708662,0.368366087,0.704675191,0.332972093,0.111570762,0.385698602,69.0025612,Excellent
56.2529294,8.458264855,4.904754117,0.086466261,3.45468122,3.262468451,0.600826895,17.8500214,6.783966878,0.377331664,0.00092885,4.124178016,1.474778143,0.674219824,4.130949889,0.052613683,0.029130781,0.403780152,0.0133608,0.032944291,Good
1.539584211,0.015132964,0.016644875,0.294372916,3.45468122,4.818868004,0.600826895,17.8500214,6.783966878,0.377331664,2.825465721,1.095191072,34.0985016,0.089726254,0.379524457,0.093652369,0.070086354,0.06280086,0.026699692,0.348739849,Excellent
0.013144204,1.54457065,7.315994559,13.94735166,5.362017666,5.856584117,0.600826895,17.8500214,6.783966878,0.377331664,0.000225398,0.007297695,2.543281436,2.34308178,1.497633718,2.028114303,0.452747753,0.31563129,0.481829312,0.369142167,Excellent
29.07199207,0.909893322,0.047354155,0.14321124,3.45468122,1.81739051,0.600826895,17.8500214,6.783966878,0.377331664,2.913216307,0.084217431,0.014255611,0.092427276,0.16955724,0.3596104,0.01411871,0.041657263,0.259677585,2.032151678,Pass
3.165689834,0.000780899,55.28657944,0.546607911,3.45468122,1.81739051,0.600826895,17.8500214,6.783966878,0.377331664,18.74437192,0.316345596,4.363502247,0.101028058,2.562641736,0.005241052,1.547569541,0.475833388,1.395218647,1.762892844,Pass
0.056276445,0.136655586,5.463464515,8367.554243,3.45468122,1.495370817,0.600826895,17.8500214,6.783966878,0.377331664,0.278539825,0.003961553,1002.612521,0.140000246,0.191054313,0.581454356,0.097412338,0.070065715,6.790420672,1.618779857,Excellent
1.053554882,0.122388762,0.160835142,0.583135636,3.85600905,3.965022677,0.600826895,17.8500214,6.783966878,0.377331664,6.051477294,2.899525871,0.007705947,0.205862301,3.453736218,0.009788291,0.027879698,0.868809798,0.235223692,0.270014574,Excellent
0.235207039,0.003404241,136.359049,0.084591294,3.85600905,3.965022677,0.600826895,17.8500214,6.783966878,0.377331664,0.292283679,0.001216253,123.9660585,0.0155942,0.067228342,0.085071108,0.056274693,0.016884416,0.154500223,0.115081622,Pass
4.323323435,0.166666088,7.118834547,135.4024512,3.85600905,3.965022677,0.600826895,17.8500214,6.783966878,0.377331664,0.001638521,1.261341532,2.771555744,0.245957759,0.957202236,0.103099235,0.164961565,0.203713681,0.021372784,7.303448439,Excellent
0.027102045,0.17194111,202.4352941,1.001538224,5.362017666,5.856584117,0.600826895,17.8500214,6.783966878,0.377331664,2.052450013,0.001486211,8.50380472,0.029945853,0.146054756,0.077276139,0.04618754,0.054769735,0.235223692,10.56882,Pass
59.21128697,1.155482788,2.141723979,0.780278203,3.85600905,3.965022677,0.600826895,17.8500214,6.783966878,0.377331664,0.027840287,75.77713897,0.172591242,0.253361805,1.90145751,0.0375855,0.766699368,1.921274611,1.327900614,3.588202473,Excellent
35.85270439,0.171147428,12.03165819,0.856550033,3.85600905,3.262468451,0.600826895,17.8500214,6.783966878,0.377331664,1059.237927,0.010862433,616.0974052,0.033717795,0.115036243,0.131098323,0.053857857,0.070065715,0.279672338,0.118400085,Pass
0.000140306,0.091211988,2619.005653,0.385529607,2.772987095,3.965022677,0.600826895,17.8500214,6.783966878,0.377331664,0.018326616,26.81028197,10.82138904,0.85476446,0.087941434,38.02428651,0.020058921,0.089633524,22.25038275,11.50971645,Pass
1096.247492,0.848088582,0.110513306,0.477554496,2.772987095,3.965022677,0.600826895,17.8500214,6.783966878,0.377331664,4.232177345,45.86852649,44.7955276,0.564310087,1.542999325,0.192550142,0.01797411,0.121117074,1.173474944,0.916783885,Pass
2.048170169,0.033967887,1.141676573,0.138919031,4.803946644,2.684398366,0.600826895,17.8500214,6.783966878,0.377331664,0.226330289,3.45688676,217.9456819,2.143609114,12.83910505,0.055203555,1.242595681,2.896438463,0.033354267,0.03907117,Good
0.4445134,48.11702693,5.284363663,0.042262295,5.362017666,5.856584117,0.600826895,17.8500214,6.783966878,0.377331664,0.044807647,0.015180347,0.710326216,0.113753424,0.115036243,0.940154031,0.196625135,0.025454285,14.98041636,4.378236615,Pass
0.004171166,5.441000129,0.000144747,0.001910933,5.362017666,5.856584117,0.600826895,17.8500214,6.783966878,0.377331664,3.566885706,13.25435219,0.528698024,0.321207801,0.336821077,0.896046761,0.176189031,0.138877,0.06832247,0.042549507,Excellent
0.12261847,0.539198864,1.266411346,4.298317697,5.362017666,5.856584117,0.600826895,17.8500214,6.783966878,0.377331664,2023.939188,21.91585966,0.236020549,0.260988735,1.687509075,0.047792751,0.37159341,0.240065716,0.021372784,0.221291594,Excellent
87.48740529,2810.260067,0.003228845,3.246149523,3.85600905,3.262468451,0.600826895,17.8500214,6.783966878,0.377331664,139.0691314,20.98153364,390.7436453,1.373840561,11.05946497,0.034141583,4.637157459,7.146098578,0.809838779,0.320231059,Excellent
390.7253108,0.16334301,1.009805108,16.69883857,3.45468122,3.262468451,0.600826895,17.8500214,6.783966878,0.377331664,0.033017737,0.000503005,0.005268072,0.059236705,1.589739126,0.00476082,1.215619915,1.461300509,298.4449603,581.8597153,Pass
85181.80524,5.167060728,0.01675578,6.546825865,0.004727201,0.011409458,146.453658,0.035407171,0.593081227,0.140915779,0.001356303,1.913300374,0.70009874,784.1306847,1.453601901,26191.18231,3.336347988,88.61110612,2975.300336,0.598516813,Fail
0.023623905,0.068789566,1.606578452,25.99977284,0.011387925,0.016852477,146.453658,0.035407171,77.59848817,26.93801751,8.493961216,5.287875475,0.061557014,0.934304216,0.052950661,94.74569904,2.508158098,0.066333906,29.20514303,7.953642945,Pass
49.69217932,14.61065835,0.01288247,56.25090587,11.57280667,8.65053754,2.374034794,14.6035953,0.051849508,0.377331664,0.000392171,0.018808393,0.333835299,0.027396485,0.511494582,0.008474261,0.051544817,0.221144004,1.5402658,5.817811411,Excellent
67.14486843,0.025179475,172.4043863,0.648246506,6.680183174,10.51338213,2.374034794,14.6035953,0.051849508,0.377331664,63.87881964,4013.914424,0.819298393,0.017558426,0.427641925,0.005499039,0.06010481,0.087213855,0.081232909,0.970418467,Pass
0.060118019,33.50052275,0.117415249,3.316358886,8.322398398,10.51338213,2.374034794,14.6035953,0.051849508,0.377331664,0.001441082,5.926058779,3.455015538,0.068705892,0.326918225,0.081080002,0.068564835,0.203713681,3.155061478,91.69077035,Excellent
1.3312348,0.21817072,0.045244777,0.016446071,8.322398398,10.51338213,2.374034794,14.6035953,0.051849508,0.377331664,0.023023161,0.064135509,92.39000889,0.042746849,0.929059605,0.006664386,0.076517646,0.62561164,23.37836777,30.25728948,Good
36.22327111,5.878097699,995.8875486,0.229587609,9.289205427,10.51338213,2.374034794,14.6035953,0.051849508,0.377331664,3.450426414,4578.237949,5.674131075,0.85476446,6.860757761,0.034141583,2.348328279,32.1916693,135.2810749,1713.830432,Good
0.025437598,5.889977759,3.545975179,0.05057948,10.36832573,10.51338213,2.374034794,14.6035953,0.051849508,0.377331664,4.710664998,0.625528321,4.851405265,0.231792454,2.487297698,0.02215484,0.405691713,3.913805191,55.54646697,9.984686173,Good
0.491081676,0.462091356,14.06547119,122.0851905,11.57280667,10.51338213,2.374034794,14.6035953,0.051849508,0.377331664,2018.317734,0.045041311,0.009433214,0.030847311,0.849499635,0.004537467,0.15109658,0.215174191,49.08679651,8184.649922,Pass
0.072243823,1.529372365,7.887690772,0.060509218,14.41779441,12.77737982,2.374034794,14.6035953,0.051849508,0.377331664,0.073403489,1.806930293,0.703105274,0.084558701,0.379524457,0.085071108,0.19235656,0.845356155,221.8217095,171.3714711,Good
0.013371051,10.83839699,0.08700967,14.37765785,7.456215243,10.51338213,2.374034794,14.6035953,0.051849508,0.377331664,6.738851951,0.000158558,1.731891535,0.027396485,0.402865448,0.011862609,0.026103093,0.074007466,1.232964355,3.798122985,Excellent
131.8518666,0.111885481,3.83E-05,11.62134713,12.91721128,8.65053754,2.374034794,14.6035953,0.051849508,0.377331664,11.18447555,1.341985104,0.649628024,0.007212188,1.738626297,0.000135964,5.527237296,3.41329835,17647.85881,3113.398504,Fail
1.591759109,7.313127821,0.024310035,4.190952787,8.322398398,10.51338213,2.374034794,14.6035953,0.051849508,0.377331664,8867.78089,0.0135515,3802.276692,0.068705892,0.326918225,0.081080002,0.068564835,0.203713681,3.155061478,91.69077035,Excellent
79.91693293,547.4981528,1.065524443,0.581536307,8.322398398,10.51338213,2.374034794,14.6035953,0.051849508,0.377331664,0.165757905,8.47853637,112.5085835,0.042746849,0.929059605,0.006664386,0.076517646,0.62561164,23.37836777,30.25728948,Good
1.84172154,1.311662136,0.004051162,188.8220129,11.57280667,10.51338213,2.374034794,14.6035953,0.051849508,0.377331664,0.589043347,0.008608128,503.3972278,0.030847311,0.849499635,0.004537467,0.15109658,0.215174191,49.08679651,8184.649922,Pass
5.780605782,4362.450591,0.004116252,1.148478399,8.322398398,12.77737982,2.374034794,14.6035953,0.051849508,0.377331664,0.120731857,155.0109175,2.071457005,0.486535716,5.90978186,0.01742316,9.997076413,6.953188641,4.803521935,4.136253489,Excellent
2.77682597,1617.09771,27.68186813,0.083265348,9.289205427,10.51338213,2.374034794,14.6035953,0.051849508,0.377331664,12.2469285,3.15E-06,56.16014129,0.005860069,0.19684164,0.003400975,0.111123565,0.154942404,0.32439908,2.410085037,Pass
0.080735027,0.124689971,0.22654994,0.151133231,14.41779441,10.51338213,2.374034794,14.6035953,0.051849508,0.377331664,0.006763965,2994.903614,11.81023664,0.048131187,0.298922601,0.050145315,0.124012749,0.102776879,25.17846424,11.18712739,Good
3.569445106,2.861243797,0.182978686,0.08254982,8.322398398,12.77737982,2.374034794,14.6035953,0.051849508,0.377331664,0.475878939,24.01031144,0.222814652,0.486535716,5.90978186,0.01742316,9.997076413,6.953188641,4.803521935,4.136253489,Excellent
0.067331022,50.33535026,437.2091453,53.73735994,7.456215243,10.51338213,2.374034794,14.6035953,0.051849508,0.377331664,0.002155667,0.022697821,0.037310633,0.084558701,2.079538696,0.005769725,0.702258447,5.288519425,13.909414,2551.59901,Pass
1.104893546,2.223771471,133.0987134,0.749079128,0.664441881,2.208755332,0.038483444,17.8500214,0.004532889,0.007339538,16.64270543,33.27325935,0.523994703,9.728750819,4.385005887,3.610043952,0.347913998,0.642968669,0.058902463,0.051917865,Good
0.771768049,0.044705143,1.426204281,27.87443156,0.664441881,2.208755332,0.038483444,17.8500214,0.004532889,0.007339538,4.844090411,0.870051181,11.73666652,3.549082459,3.666143152,0.940154031,0.340361062,0.142730017,0.031744954,0.097035294,Good
14.43771238,4.238575514,2.235867433,2.331667994,0.664441881,2.208755332,0.038483444,17.8500214,0.004532889,0.007339538,77.37084579,41.230622,0.017908251,3.05994065,6.463263047,0.296728246,0.687012973,0.007228552,3.315007584,0.046337506,Pass
2.408609295,0.112168417,0.000752908,0.003971876,60.17133927,15.52891668,0.600826895,17.8500214,0.593081227,0.073077532,0.002790618,785.2569037,0.007080483,0.07509929,0.368366087,0.073650733,0.061438594,0.154942404,0.154500223,0.369142167,Excellent
73.53886191,2.531166682,4.693639173,0.413397367,0.595287734,0.563964967,0.038483444,17.8500214,0.593081227,0.073077532,5.67E-05,383.1710169,0.87965333,2.486272243,23.32046963,0.025590197,0.073231433,0.342637602,1.831319514,0.294052806,Excellent
32.13749553,0.759672504,0.798216422,0.018473085,0.664441881,0.314162296,0.038483444,17.8500214,0.593081227,0.073077532,2266.322879,0.00225516,0.058948722,0.501181861,1.111230977,0.269539372,0.008337315,0.059455989,0.188293753,0.004633438,Pass
66.74032777,4.059531327,33.23919581,0.000589744,0.003794407,0.007724428,578.6792876,0.035407171,0.593081227,0.005285437,10.22995818,0.000193683,55.16174879,9.728750819,2.207431624,10.90145017,0.085392901,0.233585108,62.85621006,20.9089145,Good
192.538603,0.005394796,0.192044991,0.452255153,11.57280667,22.93717192,0.152058832,0.035407171,0.593081227,37.40705398,0.000601256,0.113593542,0.000146002,6.616206542,0.159733528,400.5065823,0.340361062,3.231500811,0.041667415,0.171336759,Fail
122.0337869,0.073973968,1579.193245,2.215083916,12.91721128,22.93717192,0.152058832,0.035407171,0.593081227,37.40705398,5.256938854,1.150447561,0.128856743,0.113753424,0.020377332,15.26028495,0.034722293,0.020449419,0.162332625,0.916783885,Pass
