iter	MultiClass
0	1.363989108
1	1.344166893
2	1.324735212
3	1.306516098
4	1.290226518
5	1.275693556
6	1.262376646
7	1.250006191
8	1.237973148
9	1.227186732
10	1.217560831
11	1.209208556
12	1.201121489
13	1.192716305
14	1.184923242
15	1.177704392
16	1.171044464
17	1.165129018
18	1.159585902
19	1.154260842
20	1.148614922
21	1.143635257
22	1.139078562
23	1.134330624
24	1.12995282
25	1.125564207
26	1.121820353
27	1.11804698
28	1.114937376
29	1.111838409
30	1.108525101
31	1.105512177
32	1.102545457
33	1.09987763
34	1.097056583
35	1.094601564
36	1.092722909
37	1.090655348
38	1.088741649
39	1.087030803
40	1.085704211
41	1.083901716
42	1.082031425
43	1.080301361
44	1.078729664
45	1.077343612
46	1.076268151
47	1.075104223
48	1.074067651
49	1.072946599
50	1.071608453
51	1.070274259
52	1.069363521
53	1.068590084
54	1.067595876
55	1.066673248
56	1.065688103
57	1.064491107
58	1.063837049
59	1.06288081
60	1.062293186
61	1.061375524
62	1.060692142
63	1.05984808
64	1.059193992
65	1.058739828
66	1.058022406
67	1.05762817
68	1.056669176
69	1.055962796
70	1.055409916
71	1.054951296
72	1.054334877
73	1.054011156
74	1.053526866
75	1.053089783
76	1.052394151
77	1.052189987
78	1.051846235
79	1.051379479
80	1.05067806
81	1.050208835
82	1.049695206
83	1.049318987
84	1.048857847
85	1.048511388
86	1.048143913
87	1.047822132
88	1.047187637
89	1.046777677
90	1.046308907
91	1.045845975
92	1.045568062
93	1.045151723
94	1.044718746
95	1.044382378
96	1.043941166
97	1.043791537
98	1.043332277
99	1.042853614
100	1.042518811
101	1.042138597
102	1.041785112
103	1.041635237
104	1.04128029
105	1.041036739
106	1.040654777
107	1.040307446
108	1.040085315
109	1.039839383
110	1.039604098
111	1.039277515
112	1.038829648
113	1.038530235
114	1.038161577
115	1.037859502
116	1.037650692
117	1.037379239
118	1.03707829
119	1.036662319
120	1.036463136
121	1.036217337
122	1.036007782
123	1.035841116
124	1.035628815
125	1.035236511
126	1.035059392
127	1.034827183
128	1.034586023
129	1.034261027
130	1.033838922
131	1.033711385
132	1.033542951
133	1.033362324
134	1.033133249
135	1.033010072
136	1.032842507
137	1.032495403
138	1.032379057
139	1.032310417
140	1.032072242
141	1.031831426
142	1.03150397
143	1.031255134
144	1.031046217
145	1.030876589
146	1.030708307
147	1.030560422
148	1.030424428
149	1.030071622
150	1.029855347
151	1.029780536
152	1.029441245
153	1.029173104
154	1.029029031
155	1.0288245
156	1.028690693
157	1.028423232
158	1.028131572
159	1.027997716
160	1.027783923
161	1.027387594
162	1.027208816
163	1.026902131
164	1.026702741
165	1.026561936
166	1.026380144
167	1.02626116
168	1.026070333
169	1.025871821
170	1.025790937
171	1.025517062
172	1.025169914
173	1.024983728
174	1.024757614
175	1.024344348
176	1.024120207
177	1.023880459
178	1.023781444
179	1.023640816
180	1.02340184
181	1.023128107
182	1.023029432
183	1.022861199
184	1.022725292
185	1.022358308
186	1.022265517
187	1.021901391
188	1.021668824
189	1.021572498
190	1.021408743
191	1.021338579
192	1.021238786
193	1.021054744
194	1.020873263
195	1.020816396
196	1.02067736
197	1.020568101
198	1.020290737
199	1.020153117
200	1.01977079
201	1.019474271
202	1.019261108
203	1.019180381
204	1.019064802
205	1.01897933
206	1.018866278
207	1.018742516
208	1.01847702
209	1.018291816
210	1.018113177
211	1.017936924
212	1.017821972
213	1.01768392
214	1.017569488
215	1.017381522
216	1.01722309
217	1.017119063
218	1.016951113
219	1.016588171
220	1.01634534
221	1.016179687
222	1.016025137
223	1.015911613
224	1.015804187
225	1.01575133
226	1.015494897
227	1.015332915
228	1.015214076
229	1.015075944
230	1.01495743
231	1.014838703
232	1.014627748
233	1.014456035
234	1.014342056
235	1.01409856
236	1.014029036
237	1.013838622
238	1.013701069
239	1.013586213
240	1.01347208
241	1.013294932
242	1.013079876
243	1.012942303
244	1.012562014
245	1.01247097
246	1.012291618
247	1.012164675
248	1.011964933
249	1.011796704
250	1.011578115
251	1.011495101
252	1.011219778
253	1.011118921
254	1.010921203
255	1.010561167
256	1.010377879
257	1.010155107
258	1.009982682
259	1.009813642
260	1.009548525
261	1.009355081
262	1.009252695
263	1.009168829
264	1.009074715
265	1.008984752
266	1.008874331
267	1.008777735
268	1.008715993
269	1.008434437
270	1.008307209
271	1.008128262
272	1.00804763
273	1.007945472
274	1.007880775
275	1.00769646
276	1.007515404
277	1.007216241
278	1.007097182
279	1.006903752
280	1.006676503
281	1.006622856
282	1.006431278
283	1.006263468
284	1.006075756
285	1.005959029
286	1.005799224
287	1.005685586
288	1.005409481
289	1.005226525
290	1.005111401
291	1.004891397
292	1.004629245
293	1.004431537
294	1.004243658
295	1.004063441
296	1.003939323
297	1.003780948
298	1.003579644
299	1.003243675
300	1.003128499
301	1.003007903
302	1.002894129
303	1.002625032
304	1.002463137
305	1.002287889
306	1.002057241
307	1.001814733
308	1.001647431
309	1.001496977
310	1.001309405
311	1.001155091
312	1.001003965
313	1.000898581
314	1.000614936
315	1.00045067
316	1.00018994
317	1.000049817
318	0.9997184541
319	0.9995657546
320	0.9994038746
321	0.9993125886
322	0.999054623
323	0.9989522519
324	0.9987855726
325	0.9985028943
326	0.9983223636
327	0.9981240813
328	0.9978984732
329	0.9976217553
330	0.9974735723
331	0.9973313823
332	0.9971340257
333	0.9969768869
334	0.9969107359
335	0.996763809
336	0.9966096737
337	0.9964816012
338	0.9963377067
339	0.9960079175
340	0.9957158339
341	0.9956158596
342	0.9954868497
343	0.9953641401
344	0.995223012
345	0.9950497849
346	0.9948577821
347	0.9947398362
348	0.9946238348
349	0.9944099674
350	0.9942733806
351	0.9940155509
352	0.9939186346
353	0.9935150531
354	0.9934255251
355	0.9933053169
356	0.993216953
357	0.9931019054
358	0.9929818813
359	0.9928810401
360	0.9927460053
361	0.9927240757
362	0.9926375188
363	0.9924343824
364	0.9923204314
365	0.9920928935
366	0.9920407833
367	0.9919076555
368	0.9918107037
369	0.9916378921
370	0.9915624203
371	0.9914888398
372	0.9914215105
373	0.9913646526
374	0.9910993866
375	0.9908754977
376	0.9907658258
377	0.9905569984
378	0.9903982096
379	0.9901470354
380	0.9900126491
381	0.9898835041
382	0.9897323048
383	0.9894105076
384	0.9892442895
385	0.9891020613
386	0.9888985033
387	0.9887370276
388	0.9885588244
389	0.9884815932
390	0.9884354335
391	0.988163226
392	0.9880798097
393	0.9880031408
