iter	Passed	Remaining
0	57	28590
1	118	29443
2	179	29764
3	240	29876
4	302	29950
5	363	29943
6	426	30047
7	485	29837
8	544	29690
9	604	29603
10	664	29556
11	726	29561
12	786	29468
13	852	29591
14	910	29440
15	981	29705
16	1045	29717
17	1144	30659
18	1278	32370
19	1398	33572
20	1483	33845
21	1561	33926
22	1633	33867
23	1707	33863
24	1784	33904
25	1873	34152
26	1951	34188
27	2024	34122
28	2097	34067
29	2169	33988
30	2250	34045
31	2345	34304
32	2414	34164
33	2490	34133
34	2560	34014
35	2624	33827
36	2697	33753
37	2769	33668
38	2838	33548
39	2903	33395
40	2969	33238
41	3042	33177
42	3108	33034
43	3178	32945
44	3250	32863
45	3320	32770
46	3396	32733
47	3458	32564
48	3519	32394
49	3580	32225
50	3643	32073
51	3704	31911
52	3765	31760
53	3838	31706
54	3909	31635
55	3993	31661
56	4067	31613
57	4135	31513
58	4204	31426
59	4272	31328
60	4340	31239
61	4407	31139
62	4473	31030
63	4542	30943
64	4619	30912
65	4702	30921
66	4777	30877
67	4807	30541
68	4869	30414
69	4930	30285
70	4993	30172
71	5053	30037
72	5113	29910
73	5171	29771
74	5233	29658
75	5292	29528
76	5352	29404
77	5412	29283
78	5473	29167
79	5531	29041
80	5592	28926
81	5651	28809
82	5712	28700
83	5772	28585
84	5831	28470
85	5890	28358
86	5952	28259
87	6013	28153
88	6080	28078
89	6142	27984
90	6201	27874
91	6261	27768
92	6320	27661
93	6387	27588
94	6446	27482
95	6504	27374
96	6565	27275
97	6626	27182
98	6688	27091
99	6749	26998
100	6808	26897
101	6869	26804
102	6930	26713
103	6989	26612
104	7047	26511
105	7107	26417
106	7166	26321
107	7227	26234
108	7288	26144
109	7348	26052
110	7407	25960
111	7467	25869
112	7527	25779
113	7588	25694
114	7653	25621
115	7722	25564
116	7790	25503
117	7857	25437
118	7919	25355
119	7979	25269
120	8038	25177
121	8096	25087
122	8157	25002
123	8216	24915
124	8276	24828
125	8336	24743
126	8394	24654
127	8455	24572
128	8516	24494
129	8576	24409
130	8637	24329
131	8699	24252
132	8761	24175
133	8821	24094
134	8884	24021
135	8943	23935
136	9002	23854
137	9062	23772
138	9090	23609
139	9149	23527
140	9211	23452
141	9270	23372
