iter	Passed	Remaining
0	128	64355
1	189	47217
2	248	41165
3	305	37924
4	360	35668
5	417	34360
6	475	33456
7	532	32771
8	589	32170
9	650	31890
10	707	31448
11	765	31146
12	822	30811
13	878	30498
14	935	30250
15	994	30086
16	1055	29995
17	1133	30352
18	1249	31637
19	1333	32002
20	1430	32625
21	1486	32299
22	1544	32035
23	1605	31849
24	1664	31619
25	1721	31380
26	1779	31173
27	1838	30985
28	1892	30742
29	1950	30550
30	2005	30344
31	2063	30175
32	2120	30009
33	2179	29877
34	2235	29697
35	2290	29517
36	2352	29439
37	2409	29297
38	2470	29205
39	2530	29101
40	2586	28958
41	2641	28806
42	2697	28664
43	2753	28537
44	2808	28402
45	2868	28308
46	2922	28171
47	2979	28060
48	3038	27963
49	3093	27843
50	3150	27737
51	3223	27770
52	3280	27670
53	3336	27557
54	3392	27449
55	3447	27334
56	3504	27240
57	3559	27128
58	3615	27023
59	3671	26926
60	3728	26829
61	3787	26758
62	3844	26669
63	3901	26578
64	3956	26477
65	4016	26413
66	4071	26313
67	4128	26227
68	4183	26130
69	4238	26037
70	4292	25937
71	4346	25838
72	4403	25756
73	4461	25682
74	4518	25607
75	4572	25509
76	4627	25419
77	4687	25360
78	4742	25274
79	4801	25208
80	4855	25118
81	4911	25036
82	4938	24812
83	4994	24737
84	5050	24658
85	5107	24585
86	5161	24502
87	5216	24423
88	5276	24368
89	5337	24315
90	5395	24248
91	5453	24183
92	5506	24099
93	5562	24025
94	5616	23945
95	5670	23865
96	5725	23786
97	5781	23716
98	5840	23655
99	5895	23582
100	5949	23505
101	5986	23359
102	6043	23292
103	6081	23155
104	6134	23077
105	6189	23006
106	6249	22952
107	6305	22887
108	6362	22823
109	6418	22756
110	6474	22689
111	6529	22619
112	6584	22548
113	6641	22486
114	6697	22421
115	6752	22354
116	6810	22292
117	6869	22240
118	6928	22182
119	6983	22113
120	7044	22064
121	7101	22004
122	7161	21951
123	7219	21890
124	7273	21821
125	7329	21756
126	7388	21700
127	7446	21642
128	7487	21532
129	7545	21475
130	7611	21440
131	7669	21381
132	7724	21314
133	7778	21245
134	7834	21181
135	7889	21114
136	7944	21050
137	8001	20989
138	8056	20922
139	8113	20862
140	8167	20794
141	8221	20728
142	8277	20664
143	8334	20603
144	8392	20547
145	8449	20487
146	8507	20428
147	8534	20298
148	8595	20248
149	8654	20192
150	8714	20140
151	8769	20078
152	8824	20013
153	8884	19962
154	8941	19901
155	8999	19844
156	9057	19788
157	9113	19727
158	9167	19661
159	9222	19598
160	9279	19538
161	9335	19477
162	9392	19418
163	9447	19356
164	9509	19307
165	9566	19247
166	9620	19183
167	9677	19124
168	9733	19063
169	9787	18999
170	9845	18941
171	9905	18890
172	9959	18825
173	10019	18772
174	10075	18712
175	10137	18662
176	10199	18612
177	10260	18560
178	10318	18504
179	10383	18460
180	10446	18410
181	10506	18357
182	10564	18300
183	10624	18246
184	10683	18190
185	10737	18127
186	10797	18072
187	10851	18009
188	10908	17950
189	10964	17889
190	11020	17829
191	11078	17772
192	11134	17710
193	11189	17649
194	11246	17590
195	11310	17543
196	11371	17490
197	11425	17426
198	11479	17363
199	11534	17302
200	11590	17241
201	11646	17181
202	11701	17120
203	11756	17057
204	11811	16996
205	11867	16937
206	11922	16876
207	11979	16817
208	12036	16759
209	12102	16712
210	12156	16650
211	12210	16587
212	12265	16527
213	12324	16471
214	12381	16413
215	12439	16355
216	12495	16296
217	12551	16236
218	12609	16178
219	12666	16121
220	12721	16060
221	12775	15997
222	12831	15939
223	12887	15878
224	12942	15818
225	12999	15760
226	13053	15698
227	13110	15640
228	13164	15579
229	13219	15518
230	13274	15458
231	13332	15401
232	13388	15341
233	13443	15282
234	13500	15223
235	13554	15162
236	13607	15099
237	13660	15038
238	13717	14980
239	13773	14921
240	13829	14862
241	13890	14808
242	13946	14749
243	14004	14692
244	14064	14638
245	14103	14562
246	14161	14505
247	14217	14447
248	14274	14389
249	14329	14329
250	14390	14276
251	14448	14219
252	14507	14163
253	14561	14102
254	14616	14043
255	14677	13989
256	14731	13928
257	14785	13868
258	14840	13809
259	14895	13750
260	14950	13690
261	15006	13632
262	15063	13574
263	15122	13518
264	15176	13458
265	15230	13398
266	15285	13339
267	15344	13282
268	15397	13222
269	15450	13161
270	15507	13104
271	15562	13044
272	15616	12985
273	15670	12925
274	15724	12865
275	15780	12807
276	15835	12748
277	15890	12689
278	15945	12630
279	16000	12571
280	16057	12514
281	16112	12455
282	16166	12396
283	16223	12339
284	16277	12279
285	16334	12222
286	16391	12164
287	16445	12106
288	16502	12048
289	16558	11990
290	16616	11934
291	16672	11876
292	16728	11818
293	16783	11759
294	16839	11702
295	16894	11643
296	16952	11586
297	17008	11529
298	17063	11470
299	17117	11411
300	17172	11353
301	17230	11296
302	17286	11238
303	17343	11181
304	17406	11128
305	17465	11072
306	17520	11014
307	17575	10955
308	17630	10897
309	17686	10839
310	17742	10782
311	17800	10725
312	17858	10669
313	17917	10613
314	17976	10557
315	18038	10503
316	18099	10448
317	18161	10394
318	18224	10340
319	18290	10288
320	18354	10235
321	18421	10183
322	18486	10130
323	18548	10075
324	18608	10020
325	18670	9965
326	18735	9911
327	18798	9857
328	18861	9803
329	18926	9750
330	18989	9695
331	19052	9641
332	19115	9586
333	19178	9532
334	19241	9477
335	19306	9423
336	19368	9368
337	19428	9312
338	19494	9258
339	19570	9209
340	19657	9165
341	19723	9112
342	19787	9057
343	19852	9003
344	19920	8949
345	19986	8895
346	20048	8839
347	20111	8784
348	20173	8728
